id,text
1933461599865745734,"RT @peony_fay: 🦖 : White Rabbit ก็ ผมสัญญากับเค้าไว้ว่าถ้าผมกดบัตร Blackpink ได้ผมจะสปอย

“ก็ต่อให้ฉันเป็นเสือก็คง ยอมเป็นเหยื่อให้เธอทำตาม…"
1933461591548416211,"RT @JUSTCALLMENINGG: (E! News)
#LISA @wearelloud สมาชิกวง BLACKPINK คือผู้จุดกระแสความคลั่งไคล้เจ้า Labubu บนโลกออนไลน์ 

ความชื่นชอบของลิ…"
1933461591141535791,"RT @s_010102: ❗️โดนโกงบัตร #DEADLINE_IN_BANGKOK 
อะคือสรุปมหากาพย์อี่เจ๊ที่โกงเงินค่าคอน 
-มันไปดูดรูปคนที่มันโกงมาแล้วเพื่อที่จะมาโกงคนอื่…"
1933461589170298954,RT @mgmojunh: ❌️❌️ฝากรีกันเยอะๆๆๆ🫢พอฉันออกมาเตือน บาง แอคก็ปิดกั้นฉันไปเม้นไม่ได้ ว่าซื้อขาย มอบอำนาจไม่ได้ คิดว่ามิจรึป่าวน้าา #DEADLINE_I…
1933461585575751935,"RT @BLACKPINKBRASIL: Todos os ingressos para os dois shows do BLACKPINK em Singapura esgotaram em menos de 25 minutos! 

Cerca de 600 mil p…"
1933461584820776962,RT @GuuMdark: เดี๋ยวนะ  thaiticket ทำไมผมก็ไม่ได้ซักคอน กด blackpink มาตั้งแต่วันแรก ก็ไม่ได้เลย วันนี้เอะใจลองกดคอนอื่นดู ที่ว่างเยอะมาก…
1933461580894908869,"RT @Nickaiseller: WTS/LFB
#BLACKPINK_WORLDTOUR2025 

VIP Pit 
&amp; LBA PREM 
DA2 WV PRESALE 

✅ Open for installment
✅ Sure buyer only 
✅ Good…"
1933461576067244177,RT @bponrepeat_1: The way no girl group stands a chance against blackpink 😭 https://t.co/J2tISPnAmE
1933461575001895181,RT @BP4ACES: 6 locked articles on the YG website and Imablinkbtch also gave us hints about the upcoming new song today . BLINKS BLACKPINK'S…
1933461566655246773,"RT @bpnews_my: KL KL KL KL KL KL

BLACKPINK IN KUALA LUMPUR

BLACKPINK IN KUALA LUMPUR

BLACKPINK IN KUALA LUMPUR

BLACKPINK IN KUALA LUMPUR"
1933461565510201809,RT @MMariposa31: Aquí el take off del avión de #AirIndia Luego de esto cae y mueren decenas de pasajeros. #india #planecrash #BLACKPINK #LA…
1933461563127525769,I won 30 millions dollars in @Stake in the game Crazy Time...(ONLY ONE) #ROSÉ  💅👻🤗❤️🙃🎉🥳🍫🙌🙏🎌 Yuna Yeji   blackpink  #AMAs rosé #FogoChain  Lisa Jurin Burke #AMAS Juria Chisa Russia Ukraine Karina Ningning  Kazuha  Jennie Momo Sana Gaeul Maya Jisoo Harvey Rami Somi Gawon https://t.co/8W7Jw2Cgzq
1933461561093292049,"RT @BPxSpotify: Total and daily streams on Spotify (Jun 11)

@BLACKPINK: 14,823,039,588 (+4,603,930)🔺[+227,287]

#JENNIE: 4,912,165,110 (+9…"
1933461558946115921,"@lilrosry Since I'm a BLACKPINK team staff member, it's dance lessons for the WORLD tour.
I wonder if they'll be doing something in LA?
Not only Rosé, but the other members are in LA right now too."
1933461558660903003,"RT @JUSTCALLMENINGG: (E! News)
#LISA @wearelloud สมาชิกวง BLACKPINK คือผู้จุดกระแสความคลั่งไคล้เจ้า Labubu บนโลกออนไลน์ 

ความชื่นชอบของลิ…"
1933461557595549935,"RT @enews: Labubu mania has taken over social media, after Lisa from BLACKPINK first posted her love for the adorable toys. Now other celeb…"
1933461557347745994,@nanalyn_____ @Imran71796586 @bowenjens One?? Babe where the hell have you been for past few years?? How can you not know anything?? And also how can blinks hate a blackpink member? She is blackpink herself so why hate her to begin with???
1933461554365665424,RT @BBU_BLACKPINK: ENJOYING AT THE BEACH DURING “SUMMERTIME” 👀 @BLACKPINK.
1933461551639638408,"RT @YGJAPANofficial: OFFICIAL MERCH LINE-UP COMING SOON.

#BLACKPINK #블랙핑크 #WORLDTOUR #DEADLINE #YG https://t.co/8DmGXcqoyp"
1933461540742828108,"RT @blinksunitedtwt: According to a reliable insider, BLACKPINK’s comeback is coming! The insider has stated the following hint:

“_ _ _ _…"
