,faithfulness_top_0.1,faithfulness_top_0.2,faithfulness_top_0.3,faithfulness_top_0.5,stability_cosine,stability_correlation,demographic_bias_ratio,attribution_concentration
mean,0.004477404850594541,0.0048360345845526835,0.005542460908281042,0.004829351255234251,0.01136669012262149,0.01136669015169777,0.004397802641598189,0.46123138695197435
std,0.007962146076585722,0.00988179931611605,0.010791978280883989,0.014491516705551816,0.1107616958489972,0.11076169699050814,0.028841781901033352,0.06915904540255235
